sample_id,station,month,fapar,modis_blue,modis_red,modis_nir,modis_mir,modis_evi,modis_ndvi,modis_lst_day_p05,modis_lst_day_p50,modis_lst_day_p95,modis_lst_night_p05,modis_lst_night_p50,modis_lst_night_p95,wv_yearly_p25,wv_yearly_p50,wv_yearly_p75,wv_monthly_lt_p50,wv_monthly_lt_p25,wv_monthly_lt_p75,wv_monthly_lt_sd,wv_monthly_ts_raw,wv_monthly_ts_smooth,accum_pr_monthly,dtm_slope,dtm_aspect-cosine,dtm_aspect-sine,dtm_downlslope.curvature,dtm_upslope.curvature,dtm_elevation,dtm_cti,dtm_neg.openess,dtm_pos.openess,dtm_vbf
0,52,2,0.31063366,235.0,545.0,1306.0,1414.0,1484.0,4108.0,13656.0,14032.0,14384.0,13656.0,13600.0,13760.0,696.0,1531.0,2191.0,513.0,454.0,568.0,123.0,569.0,479.0,8220.0,10.0,-4753.0,-876.0,-13.0,13.0,351.0,-2414.0,153.0,155.0,14.0
1,14,9,0.6995,355.0,531.0,3348.0,786.0,5060.0,7156.0,14904.0,15200.0,15296.0,14904.0,14840.0,14864.0,3179.0,3431.0,3805.0,3915.0,3747.0,4285.0,347.0,4222.0,4081.0,780.0,11.0,-3071.0,945.0,-22.0,40.0,125.0,-412.0,152.0,155.0,10.0
2,52,3,0.35357228,276.0,642.0,1496.0,1364.0,1614.0,4086.0,14400.0,14480.0,14888.0,14400.0,13888.0,14112.0,716.0,1223.0,2287.0,625.0,518.0,713.0,135.0,773.0,734.0,383.0,10.0,-4753.0,-876.0,-13.0,13.0,351.0,-2414.0,153.0,155.0,14.0
3,73,11,0.26006663,519.0,1196.0,3256.0,1247.0,3112.0,4628.0,13264.0,13696.0,13976.0,13264.0,13192.0,13664.0,577.0,806.0,1846.0,544.0,503.0,650.0,98.0,640.0,771.0,1358.0,1.0,5685.0,788.0,0.0,0.0,584.0,3795.0,157.0,157.0,257.0
4,14,3,0.77933335,327.0,528.0,3106.0,988.0,4572.0,7048.0,15136.0,15200.0,15296.0,15136.0,14736.0,14800.0,3130.0,3625.0,4024.0,2815.0,2660.0,2974.0,238.0,2977.0,2961.0,1226.0,11.0,-3071.0,945.0,-22.0,40.0,125.0,-412.0,152.0,155.0,10.0
5,14,11,0.875,112.0,183.0,2576.0,353.0,4584.0,8720.0,14896.0,15016.0,15096.0,14896.0,14760.0,14816.0,3230.0,3906.0,4054.0,3695.0,3350.0,3811.0,385.0,4414.0,4125.0,2869.0,11.0,-3071.0,945.0,-22.0,40.0,125.0,-412.0,152.0,155.0,10.0
6,9,4,0.8438575,125.0,215.0,3374.0,347.0,5884.0,8800.0,14616.0,14728.0,14920.0,14616.0,14424.0,14624.0,1064.0,1837.0,3508.0,1573.0,1494.0,1664.0,194.0,1582.0,1671.0,1305.0,0.0,-9030.0,-415.0,-5.0,6.0,28.0,-820.0,157.0,157.0,856.0
7,18,9,0.9485307,120.0,208.0,3194.0,430.0,5576.0,8832.0,14384.0,14688.0,14936.0,14384.0,14296.0,14512.0,529.0,904.0,1872.0,1639.0,1478.0,1734.0,229.0,1830.0,1898.0,988.0,1.0,4123.0,-884.0,-3.0,11.0,367.0,-1484.0,155.0,157.0,35.0
8,13,6,0.5,309.0,631.0,2620.0,1003.0,3610.0,6124.0,15184.0,15232.0,15352.0,15184.0,14856.0,14864.0,3140.0,3875.0,3930.0,3608.0,3441.0,3919.0,307.0,3898.0,3827.0,419.0,9.0,-9448.0,-315.0,-17.0,20.0,125.0,-400.0,154.0,152.0,26.0
9,14,8,0.742,180.0,492.0,2798.0,848.0,4104.0,7128.0,15048.0,15144.0,15272.0,15048.0,14824.0,14872.0,3130.0,3625.0,4024.0,3845.0,3730.0,3924.0,196.0,3852.0,4066.0,11490.0,11.0,-3071.0,945.0,-22.0,40.0,125.0,-412.0,152.0,155.0,10.0
10,37,7,0.11203333,634.0,1070.0,2692.0,1611.0,2810.0,4304.0,14280.0,14808.0,14912.0,14280.0,13960.0,14032.0,225.0,336.0,509.0,635.0,602.0,708.0,79.0,671.0,629.0,14710.0,8.0,-8256.0,564.0,3.0,53.0,3521.0,-2768.0,148.0,157.0,0.0
11,37,1,0.051579334,5031.0,1431.0,2722.0,1256.0,1975.0,3108.0,13048.0,13184.0,13312.0,13048.0,13096.0,13168.0,251.0,335.0,485.0,212.0,191.0,222.0,22.0,216.0,209.0,341.0,8.0,-8256.0,564.0,3.0,53.0,3521.0,-2768.0,148.0,157.0,0.0
12,21,3,0.580322,199.0,381.0,2140.0,830.0,3548.0,7248.0,14416.0,14912.0,15120.0,14416.0,14304.0,14552.0,1242.0,2038.0,3388.0,1261.0,1070.0,1343.0,262.0,2004.0,1478.0,8242.0,0.0,-4634.0,807.0,-13.0,0.0,39.0,10658.0,157.0,156.0,875.0
13,20,6,0.88273835,141.0,299.0,3186.0,797.0,5016.0,8188.0,15024.0,15184.0,15256.0,15024.0,14760.0,14832.0,1093.0,1556.0,3605.0,3640.0,3281.0,3873.0,445.0,4091.0,3465.0,961.0,1.0,9548.0,-270.0,-8.0,3.0,42.0,400.0,157.0,156.0,875.0
14,55,9,0.959143,188.0,263.0,2732.0,523.0,4912.0,8240.0,14672.0,14840.0,15008.0,14672.0,14464.0,14784.0,786.0,1642.0,2425.0,2186.0,1966.0,2458.0,429.0,2211.0,2708.0,22962.0,1.0,9485.0,-213.0,-4.0,-1.0,14.0,606.0,157.0,156.0,654.0
15,50,8,0.07004924,1005.0,1920.0,2796.0,3202.0,1322.0,1856.0,15864.0,15976.0,16240.0,15864.0,14904.0,15024.0,695.0,833.0,1367.0,2510.0,2175.0,2798.0,466.0,2507.0,2100.0,6779.0,3.0,6647.0,-713.0,-3.0,-1.0,990.0,1144.0,156.0,156.0,117.0
16,55,11,0.856811,255.0,502.0,1752.0,701.0,2386.0,5468.0,14160.0,14328.0,14584.0,14160.0,14032.0,14208.0,713.0,1237.0,2557.0,873.0,802.0,945.0,112.0,953.0,1078.0,803.0,1.0,9485.0,-213.0,-4.0,-1.0,14.0,606.0,157.0,156.0,654.0
